,Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific FPKM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cuteneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA),HPA_Score,UniProt_Score,Final_Score
5941,FBXO41,"Fbx41, KIAA1940",ENSG00000163013,F-box protein 41,Q8TF61,2,73254682-73284478,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at transcript level,Evidence at transcript level,Evidence at protein level,Tissue enriched,Detected in many,4.0,brain: 55.7,Cell type enhanced,Detected in many,,Bipolar cells: 12.3;Excitatory neurons: 27.9;Horizontal cells: 30.2;Inhibitory neurons: 21.5,Low cell type specificity,Detected in many,,,Low cancer specificity,Detected in many,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in many,,,"Adipose subcutaneous - Macrophages, Spleen - B-cells (Spleen)",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA055246, HPA058386",,,Approved,"Nucleoplasm,Plasma membrane,Cytosol",,,,,,,,Cluster 22: Brain - Synaptic signal transduction,Cluster 51: Neurons - Mixed function,Cluster 46: Lymphoma - Humoral immune response,Cluster 71: Horizontal & Bipolar cells - Neuronal signaling,,"Nucleoplasm, Cytosol",Plasma membrane,"HPA055246: AB_2682758, HPA058386: AB_2683701",unprognostic (5.55e-2),unprognostic (4.69e-4),unprognostic (2.86e-3),unprognostic (9.40e-2),unprognostic (6.27e-2),unprognostic (1.36e-1),unprognostic (2.50e-2),unprognostic (3.07e-1),unprognostic (4.58e-2),,unprognostic (2.61e-4),unprognostic (1.46e-2),unprognostic (1.59e-1),,,unprognostic (8.33e-2),unprognostic (5.55e-3),unprognostic (1.68e-1),unprognostic (2.62e-3),unprognostic (2.41e-2),unprognostic (6.28e-2),unprognostic (2.36e-2),unprognostic (7.26e-2),unprognostic (7.37e-2),unprognostic (4.11e-2),unprognostic (3.04e-2),unprognostic (3.26e-2),unprognostic (6.10e-2),unprognostic (1.83e-1),unprognostic (1.45e-1),unprognostic (7.39e-2),2,0,7
10181,MIB1,"DIP-1, KIAA1323, MIB, ZZANK2, ZZZ6",ENSG00000101752,MIB E3 ubiquitin protein ligase 1,Q86YT6,18,21704957-21870953,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins","Notch signaling pathway, Ubl conjugation pathway",Transferase,"Cardiomyopathy, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Excitatory neurons: 103.1;Oligodendrocyte precursor cells: 113.7,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,Testis - Spermatocytes,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA019100, CAB037044, HPA067539",Approved,,Approved,"Microtubules,Mitotic spindle,Primary cilium,Centriolar satellite,Basal body",,,Yes,,,,Cluster 41: Basophils - Unknown function,Cluster 16: Non-specific - Transcription,Cluster 44: Non-specific - Mixed function,Cluster 51: Myeloma - Immunoglobulins,Cluster 55: Non-specific - Transcription,50.0,"Microtubules, Primary cilium","Mitotic spindle, Centriolar satellite, Basal body","CAB037044: AB_1841007, HPA019100: AB_1853934, HPA067539: ",unprognostic (2.66e-2),unprognostic (1.73e-1),unprognostic (1.63e-1),unprognostic (5.21e-3),unprognostic (2.65e-2),unprognostic (1.64e-1),unprognostic (3.86e-2),unprognostic (1.37e-3),unprognostic (4.74e-2),unprognostic (2.27e-1),unprognostic (3.49e-4),unprognostic (2.55e-2),unprognostic (9.50e-2),unprognostic (4.39e-2),unprognostic (6.85e-2),unprognostic (9.27e-2),unprognostic (1.33e-2),unprognostic (3.54e-1),unprognostic (1.16e-2),unprognostic (9.28e-2),unprognostic (5.48e-2),unprognostic (3.47e-2),unprognostic (1.03e-1),unprognostic (3.90e-2),unprognostic (1.40e-1),unprognostic (7.17e-2),unprognostic (3.82e-2),unprognostic (2.49e-2),unprognostic (3.68e-1),unprognostic (2.39e-2),unprognostic (2.11e-1),0,2,7
17645,TMEM237,"ALS2CR4, JBTS14",ENSG00000155755,Transmembrane protein 237,Q96Q45,2,201620184-201643570,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Cilium biogenesis/degradation,,"Ciliopathy, Joubert syndrome",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enriched,Detected in many,10.0,retina: 75.1,Cell type enhanced,Detected in many,,Rod photoreceptor cells: 132.0,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,Kidney - Fibroblasts,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA052596, HPA054732",Enhanced,,Approved,"Nuclear speckles,Plasma membrane,Microtubules,Primary cilium",,,,,,,,Cluster 76: Retina - Visual perception,Cluster 14: Neurons - Synaptic function,Cluster 17: Neuroblastoma - Neuronal signaling,Cluster 66: Photoreceptor cells - Visual perception,8.0,"Nuclear speckles, Primary cilium","Plasma membrane, Microtubules","HPA052596: AB_2681879, HPA054732: AB_2682587",unprognostic (5.95e-2),unprognostic (1.75e-2),,unprognostic (1.64e-2),unprognostic (2.24e-1),unprognostic (1.18e-1),unprognostic (2.23e-2),unprognostic (2.92e-3),unprognostic (8.08e-2),unprognostic (1.30e-1),unprognostic (2.08e-2),unprognostic (4.71e-2),unprognostic (4.94e-3),unprognostic (4.67e-5),unprognostic (1.55e-5),unprognostic (2.79e-1),unprognostic (4.38e-2),unprognostic (6.98e-2),unprognostic (2.08e-1),unprognostic (5.12e-2),unprognostic (4.62e-1),unprognostic (4.16e-2),unprognostic (5.64e-1),unprognostic (4.72e-1),unprognostic (3.56e-2),unprognostic (1.57e-3),unprognostic (4.08e-2),unprognostic (1.48e-1),unprognostic (2.69e-1),unprognostic (3.09e-1),unprognostic (1.37e-1),2,0,7
4459,DNM1,DNM,ENSG00000106976,Dynamin 1,Q05193,9,128191655-128255248,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Endocytosis,"Hydrolase, Motor protein","Disease variant, Epilepsy",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enriched,Detected in all,5.0,brain: 366.1,Group enriched,Detected in many,4.0,Bipolar cells: 108.4;Cone photoreceptor cells: 105.3;Excitatory neurons: 170.2;Horizontal cells: 162.4;Inhibitory neurons: 174.8;Rod photoreceptor cells: 123.8,Low cell type specificity,Detected in all,,,Cancer enhanced,Detected in many,,Kidney Renal Papillary Cell Carcinoma (TCGA): 36.9,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in many,,,"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Thyroid gland - Fibroblasts",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB005920, HPA049910",Enhanced,,,,,,,,,91000.0,,Cluster 22: Brain - Synaptic signal transduction,Cluster 52: Neurons & Synapses - Synaptic function,Cluster 15: Kidney cancer - Membrane components,Cluster 8: Neurons - Neuronal signaling,40.0,,,"CAB005920: , HPA049910: AB_2680948",unprognostic (2.47e-1),unprognostic (6.01e-3),unprognostic (1.19e-1),unprognostic (1.00e-1),unprognostic (1.27e-3),unprognostic (1.32e-1),unprognostic (4.08e-2),unprognostic (1.02e-2),unprognostic (5.97e-2),unprognostic (7.01e-3),unprognostic (1.76e-1),unprognostic (2.34e-1),unprognostic (1.68e-1),unprognostic (1.06e-4),unprognostic (8.19e-2),unprognostic (2.76e-2),unprognostic (4.91e-2),unprognostic (1.25e-1),unprognostic (1.12e-1),unprognostic (2.99e-2),unprognostic (1.18e-1),unprognostic (5.93e-3),unprognostic (1.14e-2),unprognostic (1.79e-1),unprognostic (7.43e-2),unprognostic (9.00e-2),unprognostic (4.22e-2),unprognostic (1.84e-1),unprognostic (9.47e-2),,unprognostic (2.15e-2),0,2,7
16801,SYAP1,"FLJ14495, PRO3113",ENSG00000169895,Synapse associated protein 1,Q96A49,X,16719612-16765340,Predicted intracellular proteins,Differentiation,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,granulocytes: 548.9;monocytes: 849.0,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA000175, HPA000882, HPA048047",Approved,,Enhanced,"Nucleoplasm,Golgi apparatus,Cytosol",,,,,,5800.0,Cluster 37: Monocytes & Neutrophils - Innate immune response,Cluster 40: Non-specific - Transcription,Cluster 21: Non-specific - Metabolism,Cluster 36: Non-specific - mRNA processing,Cluster 78: NK-cells & T-cells - Immune system & Transcription,20.0,Golgi apparatus,"Nucleoplasm, Cytosol","HPA000175: AB_1080142, HPA000882: AB_2666128, HPA048047: AB_2680240",unprognostic (4.34e-1),unprognostic (5.61e-3),unprognostic (1.20e-1),unprognostic (1.12e-2),unprognostic (1.17e-3),unprognostic (1.38e-1),unprognostic (5.10e-1),unprognostic (1.45e-4),unprognostic (8.58e-4),unprognostic (4.97e-3),unprognostic (1.93e-3),unprognostic (1.08e-2),unprognostic (3.26e-2),unprognostic (7.66e-2),unprognostic (4.70e-2),unprognostic (9.42e-3),unprognostic (6.43e-2),unprognostic (2.21e-1),unprognostic (2.89e-1),unprognostic (4.78e-2),unprognostic (1.70e-1),unprognostic (8.14e-2),unprognostic (1.31e-3),unprognostic (1.10e-1),unprognostic (2.17e-1),unprognostic (2.00e-1),unprognostic (1.69e-1),unprognostic (9.33e-3),unprognostic (2.34e-2),unprognostic (4.66e-2),unprognostic (1.43e-2),0,2,7
17654,TMEM245,"C9orf5, CG-2",ENSG00000106771,Transmembrane protein 245,Q9H330,9,109015135-109119947,"Predicted membrane proteins, Transporters",,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA023892,Approved,,Approved,"Plasma membrane,Cytosol",,,,,,,Cluster 5: Non-specific - Cell proliferation,Cluster 51: Thyroid gland - Unknown function,Cluster 21: Non-specific - Metabolism,Cluster 43: Non-specific - Basic cellular processes,Cluster 72: Alveolar cells - Lung function,,"Plasma membrane, Cytosol",,HPA023892: AB_1845828,unprognostic (2.68e-2),unprognostic (4.76e-3),,unprognostic (2.71e-2),unprognostic (3.46e-1),unprognostic (1.17e-3),unprognostic (1.07e-1),unprognostic (1.59e-1),unprognostic (4.00e-2),unprognostic (9.89e-2),unprognostic (1.86e-8),unprognostic (1.06e-4),unprognostic (7.78e-2),unprognostic (1.32e-1),,unprognostic (1.23e-1),unprognostic (3.03e-1),unprognostic (1.58e-1),unprognostic (1.24e-1),unprognostic (4.84e-2),unprognostic (1.69e-2),unprognostic (1.36e-1),unprognostic (7.77e-2),unprognostic (3.21e-1),unprognostic (1.20e-1),unprognostic (1.55e-1),unprognostic (1.63e-2),unprognostic (1.12e-1),unprognostic (2.14e-1),unprognostic (2.87e-1),unprognostic (1.57e-1),2,0,7
17663,TMEM254,"bA369J21.6, C10orf57, FLJ13263",ENSG00000133678,Transmembrane protein 254,Q8TBM7,10,80078646-80092557,Predicted membrane proteins,,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Cell type enhanced,Detected in all,,ependymal cell: 104.6,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Keratinocyte (other), Testis - Early spermatids, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA029105, HPA072613",Approved,,Approved,"Nucleoplasm,Plasma membrane",,,,,,,Cluster 41: Basophils - Unknown function,Cluster 13: Skin - Cornification,Cluster 39: Astrocytes - Mixed function,Cluster 27: Breast cancer - Unknown function,Cluster 42: Ciliated cells - Cilium assembly,35.0,Plasma membrane,Nucleoplasm,"HPA029105: AB_2672909, HPA072613: AB_2732205",unprognostic (9.31e-2),unprognostic (1.97e-3),,unprognostic (3.36e-2),unprognostic (5.39e-2),unprognostic (1.26e-2),unprognostic (2.51e-1),unprognostic (1.55e-2),unprognostic (1.11e-1),unprognostic (3.87e-2),unprognostic (3.96e-4),unprognostic (1.24e-1),unprognostic (7.65e-2),unprognostic (1.97e-1),,unprognostic (4.83e-2),unprognostic (3.72e-1),unprognostic (8.87e-2),unprognostic (1.67e-1),unprognostic (4.79e-2),unprognostic (3.77e-1),unprognostic (1.67e-2),unprognostic (1.70e-2),unprognostic (3.00e-1),unprognostic (3.84e-2),unprognostic (1.99e-2),unprognostic (1.06e-1),unprognostic (2.28e-1),unprognostic (3.57e-1),unprognostic (5.34e-3),unprognostic (1.33e-1),2,0,7
10174,MGRN1,"KIAA0544, RNF156",ENSG00000102858,Mahogunin ring finger 1,O60291,16,4616493-4690974,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Ubl conjugation pathway,Transferase,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,neutrophil: 16.3,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA007653, HPA008033",Approved,,Supported,"Endoplasmic reticulum,Vesicles",,,,,,,Cluster 21: Neutrophils - Unknown function,Cluster 66: Non-specific - Transcription,Cluster 34: Non-specific - Mixed function,Cluster 54: Non-specific - Transcription,Cluster 74: Neutrophils - Degranulation,12.0,Vesicles,Endoplasmic reticulum,"HPA007653: AB_1846304, HPA008033: ",unprognostic (1.71e-2),unprognostic (6.62e-2),unprognostic (7.81e-2),unprognostic (2.04e-1),unprognostic (5.42e-2),unprognostic (2.35e-1),unprognostic (2.17e-1),unprognostic (1.48e-1),unprognostic (1.64e-1),unprognostic (1.97e-1),unprognostic (1.60e-3),unprognostic (9.65e-2),unprognostic (7.44e-3),unprognostic (1.57e-1),unprognostic (1.24e-1),unprognostic (4.44e-2),unprognostic (3.48e-3),unprognostic (1.63e-3),unprognostic (1.54e-1),unprognostic (1.54e-2),unprognostic (9.35e-2),unprognostic (1.18e-1),unprognostic (1.59e-1),unprognostic (3.43e-1),unprognostic (2.56e-1),unprognostic (6.97e-4),unprognostic (3.78e-1),unprognostic (2.15e-1),unprognostic (2.47e-1),unprognostic (5.84e-2),unprognostic (2.27e-2),0,2,7
4442,DNAJC6,"KIAA0473, PARK19",ENSG00000116675,DnaJ heat shock protein family (Hsp40) member C6,O75061,1,65248219-65415871,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",,"Chaperone, Hydrolase, Protein phosphatase","Disease variant, Neurodegeneration, Parkinson disease, Parkinsonism",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Group enriched,Detected in many,6.0,brain: 93.0;retina: 51.2,Cell type enriched,Detected in many,4.0,Oligodendrocytes: 966.0,Cell type enhanced,Detected in all,,oligodendrocyte: 1616.5,Cancer enhanced,Detected in many,,Glioblastoma Multiforme (TCGA): 9.8,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enhanced,Detected in many,,testis cancer: 34.4,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA031182, HPA054917",Enhanced,,Approved,"Nucleoplasm,Plasma membrane,Cytosol",,,,,,,,Cluster 17: Neuronal - Synaptic function,Cluster 28: Oligodendrocytes - Mixed function,Cluster 47: Leukemia - Hemostasis,Cluster 51: Oligodendrocytes - Unknown function,6.0,Cytosol,"Nucleoplasm, Plasma membrane","HPA031182: AB_10611957, HPA054917: AB_2682641",,unprognostic (8.50e-2),unprognostic (1.91e-1),,unprognostic (9.04e-2),unprognostic (6.52e-2),unprognostic (3.65e-1),unprognostic (1.13e-3),,unprognostic (8.46e-2),unprognostic (5.16e-5),unprognostic (5.56e-3),unprognostic (1.62e-1),unprognostic (3.80e-4),unprognostic (4.19e-2),unprognostic (1.32e-2),unprognostic (2.44e-2),unprognostic (1.62e-1),unprognostic (1.54e-1),unprognostic (4.69e-1),,unprognostic (1.28e-2),,,unprognostic (8.68e-2),unprognostic (1.76e-1),unprognostic (1.02e-1),unprognostic (2.08e-2),,,,2,0,7
17667,TMEM258,"C11orf10, Kud, Kuduk",ENSG00000134825,Transmembrane protein 258,P61165,11,61768501-61792802,"Predicted membrane proteins, Transporters",,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose visceral - Adipose progenitor cells, Minor Salivary Gland - Minor salivary glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA044602,Approved,,Approved,"Plasma membrane,Cytosol",,,,,,,Cluster 10: Non-specific - Membrane trafficking,Cluster 68: Non-specific - Protein processing,Cluster 28: Oligodendrocytes - Mixed function,Cluster 24: Non-specific - Unknown function,Cluster 77: Plasma cells - Protein processing,6.0,Cytosol,Plasma membrane,HPA044602: AB_10961423,unprognostic (7.36e-3),unprognostic (4.56e-2),,unprognostic (4.84e-2),unprognostic (2.73e-1),unprognostic (2.61e-2),unprognostic (1.43e-2),unprognostic (2.69e-1),unprognostic (2.41e-3),unprognostic (1.57e-1),unprognostic (2.23e-1),unprognostic (1.26e-4),unprognostic (2.22e-2),unprognostic (2.74e-4),,unprognostic (4.09e-3),unprognostic (5.86e-3),unprognostic (3.29e-2),unprognostic (1.20e-1),unprognostic (3.82e-3),unprognostic (2.25e-1),unprognostic (2.94e-5),unprognostic (8.84e-2),unprognostic (1.11e-2),unprognostic (4.96e-1),unprognostic (1.81e-1),unprognostic (2.47e-2),unprognostic (8.67e-2),unprognostic (2.84e-1),unprognostic (1.09e-1),unprognostic (2.87e-1),2,0,7
6014,FES,FPS,ENSG00000182511,"FES proto-oncogene, tyrosine kinase",P07332,15,90883695-90895776,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",,"Kinase, Transferase, Tyrosine-protein kinase","Cancer-related genes, Proto-oncogene, Tumor suppressor",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 82.4;lymphoid tissue: 108.2,Cell type enhanced,Detected in many,,Adipocytes: 43.2;Hofbauer cells: 56.7;Kupffer cells: 84.5;Macrophages: 49.9;monocytes: 71.5,Cell type enhanced,Detected in many,,central nervous system macrophage: 19.5;endothelial cell: 30.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in many,,eosinophil: 316.6,Group enriched,Detected in many,4.0,dendritic cells: 162.8;granulocytes: 316.6;monocytes: 151.9,Cancer enriched,Detected in many,5.0,Leukemia: 52.5,Colon - Endothelial cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA001376,Approved,,Approved,"Nucleoplasm,Vesicles,Cytosol",,,,,,,Cluster 29: Non-specific - Unknown function,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,Cluster 12: Non-specific - Vasculature,Cluster 14: Myeloid leukemia - Innate immune response,Cluster 29: Monocytes - Innate immune response,11.0,"Nucleoplasm, Cytosol",Vesicles,HPA001376: AB_1078847,unprognostic (1.08e-2),unprognostic (2.28e-2),unprognostic (2.57e-1),unprognostic (1.96e-2),unprognostic (3.75e-4),unprognostic (1.74e-2),unprognostic (6.66e-4),unprognostic (1.17e-2),unprognostic (2.91e-2),unprognostic (3.48e-1),unprognostic (3.05e-2),unprognostic (1.41e-2),unprognostic (3.69e-1),unprognostic (1.41e-1),unprognostic (9.06e-2),unprognostic (8.28e-2),unprognostic (2.42e-3),unprognostic (1.03e-2),unprognostic (1.08e-1),unprognostic (3.32e-2),unprognostic (7.77e-4),unprognostic (1.13e-2),unprognostic (2.35e-1),unprognostic (7.05e-3),unprognostic (2.18e-2),unprognostic (1.60e-4),unprognostic (3.76e-4),unprognostic (4.24e-3),unprognostic (1.90e-1),unprognostic (7.60e-2),unprognostic (1.57e-1),0,2,7
16794,SVIP,DKFZp313A2432,ENSG00000198168,Small VCP interacting protein,Q8NHG7,11,22813799-22830299,Predicted intracellular proteins,,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Early spermatids: 848.4,Cell type enhanced,Detected in all,,oligodendrocyte: 227.1,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in many,,,"Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA039807,Approved,,,,,,,,,,Cluster 3: Non-specific - Nuclear processes,Cluster 9: Oligodendrocytes - Myelination,Cluster 28: Oligodendrocytes - Mixed function,Cluster 51: Myeloma - Immunoglobulins,Cluster 18: Early spermatids - Unknown function,10.0,,,HPA039807: AB_10795232,unprognostic (8.20e-2),unprognostic (1.07e-1),unprognostic (7.21e-3),unprognostic (2.78e-1),unprognostic (1.52e-1),unprognostic (5.14e-2),unprognostic (3.40e-2),unprognostic (2.22e-2),unprognostic (6.02e-3),unprognostic (6.80e-3),unprognostic (1.42e-8),unprognostic (3.15e-2),unprognostic (4.50e-2),unprognostic (9.52e-2),unprognostic (3.60e-3),unprognostic (1.79e-1),unprognostic (8.74e-2),unprognostic (1.53e-2),unprognostic (2.16e-1),unprognostic (9.03e-3),unprognostic (1.15e-1),unprognostic (1.88e-1),unprognostic (2.33e-2),unprognostic (2.88e-1),unprognostic (2.87e-2),unprognostic (4.96e-2),unprognostic (7.72e-2),unprognostic (6.86e-2),unprognostic (1.07e-1),unprognostic (2.63e-1),unprognostic (2.60e-2),0,2,7
